序号,姓名,联系电话,子女班级,志愿岗位,服务时段
1,陈美琳,138****0101,一年级1班,签到处协助,上午场
2,王建国,138****0102,一年级2班,人流引导,上午场
3,李秀英,138****0103,一年级3班,摊位协助,全天
4,张伟明,138****0104,二年级1班,秩序维护,上午场
5,刘晓燕,138****0105,二年级2班,签到处协助,下午场
6,黄志强,138****0106,二年级3班,物资搬运,上午场
7,周丽华,138****0107,三年级1班,摊位协助,下午场
8,吴俊杰,138****0108,三年级2班,摄影记录,全天
9,郑淑芬,138****0109,三年级3班,失物招领,全天
10,孙国庆,138****0110,三年级4班,人流引导,下午场
11,马春梅,138****0111,四年级1班,签到处协助,下午场
12,朱海涛,138****0112,四年级2班,摊位协助,上午场
13,胡雅琴,138****0113,四年级3班,医疗点协助,全天
14,林振宇,138****0114,一年级4班,秩序维护,下午场
15,何雪梅,138****0115,二年级4班,摄影记录,上午场
